AppSumo Code,Redeem URL
0e6b29d1-6d63-418d-91c6-91b7afef1855,http://letlockweb-qa.s3-website-us-west-2.amazonaws.com/download/?signUp=true&partnerName=AppSumo&code=0e6b29d1-6d63-418d-91c6-91b7afef1855
63dd10f4-395d-406f-9f21-5675dfc0519f,http://letlockweb-qa.s3-website-us-west-2.amazonaws.com/download/?signUp=true&partnerName=AppSumo&code=63dd10f4-395d-406f-9f21-5675dfc0519f
79075e7e-dce7-4a96-be55-73544bfd783a,http://letlockweb-qa.s3-website-us-west-2.amazonaws.com/download/?signUp=true&partnerName=AppSumo&code=79075e7e-dce7-4a96-be55-73544bfd783a
9767f98e-522c-4c1a-bdfc-3fc190a20a69,http://letlockweb-qa.s3-website-us-west-2.amazonaws.com/download/?signUp=true&partnerName=AppSumo&code=9767f98e-522c-4c1a-bdfc-3fc190a20a69
ed31eb8d-4781-4ddb-a4a0-2197a15d2c25,http://letlockweb-qa.s3-website-us-west-2.amazonaws.com/download/?signUp=true&partnerName=AppSumo&code=ed31eb8d-4781-4ddb-a4a0-2197a15d2c25
2af9e168-48fe-48fd-a257-6a33f48cecbe,http://letlockweb-qa.s3-website-us-west-2.amazonaws.com/download/?signUp=true&partnerName=AppSumo&code=2af9e168-48fe-48fd-a257-6a33f48cecbe
edafbcea-ec4a-4c36-96fa-f08f81f40e64,http://letlockweb-qa.s3-website-us-west-2.amazonaws.com/download/?signUp=true&partnerName=AppSumo&code=edafbcea-ec4a-4c36-96fa-f08f81f40e64
01342a3c-ba29-4fd2-9c28-cc19089d3d33,http://letlockweb-qa.s3-website-us-west-2.amazonaws.com/download/?signUp=true&partnerName=AppSumo&code=01342a3c-ba29-4fd2-9c28-cc19089d3d33
46bc5b72-335f-4f2e-a490-e533e6becb1d,http://letlockweb-qa.s3-website-us-west-2.amazonaws.com/download/?signUp=true&partnerName=AppSumo&code=46bc5b72-335f-4f2e-a490-e533e6becb1d
c0e15682-6515-4f6f-8ddf-459b465d8d01,http://letlockweb-qa.s3-website-us-west-2.amazonaws.com/download/?signUp=true&partnerName=AppSumo&code=c0e15682-6515-4f6f-8ddf-459b465d8d01
f8549a35-1a51-4ac5-b610-f2ccfa32d0ca,http://letlockweb-qa.s3-website-us-west-2.amazonaws.com/download/?signUp=true&partnerName=AppSumo&code=f8549a35-1a51-4ac5-b610-f2ccfa32d0ca
fcdaa054-9909-4247-81c8-846234389be2,http://letlockweb-qa.s3-website-us-west-2.amazonaws.com/download/?signUp=true&partnerName=AppSumo&code=fcdaa054-9909-4247-81c8-846234389be2
5fa8ed9f-4d12-4601-bbdc-69052713a4a7,http://letlockweb-qa.s3-website-us-west-2.amazonaws.com/download/?signUp=true&partnerName=AppSumo&code=5fa8ed9f-4d12-4601-bbdc-69052713a4a7
9ec58fb2-052e-463c-acea-5a7ed268125d,http://letlockweb-qa.s3-website-us-west-2.amazonaws.com/download/?signUp=true&partnerName=AppSumo&code=9ec58fb2-052e-463c-acea-5a7ed268125d
24dc6269-0d7d-4199-9e63-366a08cd9a47,http://letlockweb-qa.s3-website-us-west-2.amazonaws.com/download/?signUp=true&partnerName=AppSumo&code=24dc6269-0d7d-4199-9e63-366a08cd9a47
25ad82e0-204f-4a4a-bfa8-4037dacd9bf6,http://letlockweb-qa.s3-website-us-west-2.amazonaws.com/download/?signUp=true&partnerName=AppSumo&code=25ad82e0-204f-4a4a-bfa8-4037dacd9bf6
18232250-88d9-4dcf-991a-0e3ad792f5e7,http://letlockweb-qa.s3-website-us-west-2.amazonaws.com/download/?signUp=true&partnerName=AppSumo&code=18232250-88d9-4dcf-991a-0e3ad792f5e7
